gene_symbol	full	reduced
ELAVL4	0.865866495	
ELN	0.490093122	
ELOA	0.625036651	0.626819999
ELOB	0.402604782	
ENAH	0.527122665	0.538353768
ENDOU	0.602180571	
ENG	0.193711557	0.195353441
ENO1	0.874159764	0.882392934
ENO2	0.73513359	0.738840296
ENO3	0.664772026	
ENOPH1	0.565386803	
ENOX2	0.285847691	
ENPEP	0.450144945	
ENPP2	0.373429884	0.374467141
ENPP5	0.50893543	0.50990123
ENPP6	0.408057567	
ENPP7	0.975020815	0.976295701
ENSA	0.540224463	
ENTPD2	0.484753747	0.488206255
ENTPD5	0.237075959	0.240489022
ENTPD6	0.30385245	0.305280347
ENTR1	0.622977865	
EP300	0.312483862	
EPB41L5	0.65279631	
EPCAM	1.10018407	1.102505989
EPGN	0.486833009	
EPHA1	0.412237199	0.418017066
EPHA10	0.711958569	0.71932577
EPHA2	0.351330934	
EPHA4	0.293866295	
EPHB4	0.274639364	0.283084479
EPHB6	0.346731625	0.355468872
EPHX2	0.681971499	0.686595156
EPN1	0.441957591	
EPO	0.866190092	0.864594087
EPPK1	0.764058229	
EPS8L2	0.352918682	0.357355869
ERBB2	0.297231823	0.2983162
ERBB3	0.226748284	0.227526294
ERBB4	0.277935562	0.277367242
ERBIN	1.149563136	1.155320541
ERC2	0.763858917	
ERCC1	0.33477496	
EREG	0.894020746	0.894711111
ERI1	0.351804726	
ERMAP	0.480800293	
ERN1	0.397601875	
ERP29	1.220560953	
ERP44	0.292610758	0.295260402
ERVV-1	0.465766229	
ESAM	0.358791205	0.363458102
ESM1	0.40521374	0.404622501
ESPL1	0.569423925	
ESR1	0.59525288	
ESYT2	0.863308958	
EVI2B	0.404202939	
EVI5	0.927220883	
EVPL	0.3412843	
EXOSC10	0.609249722	
EXTL1	0.490602322	
EZR	0.282762843	0.28452875
F10	0.285777806	
F11	0.325361199	
F11R	0.635139182	0.637200774
F12	0.43684452	
F13B	0.269758864	
F2	0.155017621	
F2R	0.645043772	0.644157021
F3	0.317783468	0.322077682
F7	0.353541013	0.355589301
F9	0.218500136	0.222164077
FABP1	1.132203232	1.144432412
FABP2	0.893592432	0.898989354
FABP3	0.599196602	
FABP4	0.752091786	0.760425925
FABP5	0.782133664	0.785886652
FABP6	0.622527961	0.626236801
FABP9	0.638806263	0.638934722
FADD	0.83975943	0.843602711
FAM13A	0.708289369	
FAM171A2	1.640629491	
FAM171B	0.280819452	
FAM172A	0.634586567	
FAM20A	0.318661251	
FAM3B	0.407512084	0.409752775
FAM3C	0.338359785	0.350455911
FAM3D	0.877970684	
FAP	0.313597005	0.31519337
FARSA	0.716135106	
FAS	0.390338286	0.395870047
FASLG	0.445217973	0.444572465
FBLN2	0.34702849	
FBN2	0.609556359	
FBP1	0.845558513	0.853713942
FCAMR	0.824598482	
FCAR	0.541426997	0.542115167
FCER1A	0.246798432	
FCER2	0.575643336	0.579013344
FCGR2A	0.676939816	0.675842155
FCGR2B	0.647682606	0.64739379
FCGR3B	0.560332523	0.56119362
FCN1	0.603572549	
FCN2	0.46748947	0.468633461
FCRL1	0.517213141	0.519433158
FCRL2	0.556496283	0.556737028
FCRL3	0.600906909	0.605058258
FCRL5	0.683893898	0.683498137
FCRL6	0.775828519	0.773374831
FCRLB	0.683576876	0.685410623
FDX1	0.647240457	
FDX2	0.583968992	
FEN1	0.729498308	0.734092173
FES	0.522657741	0.529358702
FETUB	0.384953426	0.389049632
FGA	0.3389662	
FGD3	0.837860152	
FGF12	0.46612246	
FGF16	0.483549055	
FGF19	0.878073877	0.879825021
FGF2	0.757576665	0.75793145
FGF20	0.444599828	
FGF21	1.430752902	1.429553707
FGF23	0.655685824	0.661825064
FGF3	0.308845154	
FGF5	0.392199387	0.397397243
FGF6	0.420090654	
FGF7	0.809624486	
FGF9	0.416888733	
FGFBP1	0.375247198	0.375670891
FGFBP2	0.526572967	
FGFBP3	0.391995986	
FGFR2	0.263263192	0.266659105
FGFR4	0.552467547	
FGL1	0.713792457	
FGR	0.672831302	0.678520248
FH	0.856143979	
FHIP2A	0.49351729	
FHIT	0.814350325	0.822403214
FIS1	0.860984395	0.862498597
FKBP14	1.033682436	
FKBP1B	1.228706584	1.247854562
FKBP4	0.491883914	0.493878319
FKBP5	1.055744815	1.058764364
FKBP7	0.524748797	0.52568375
FKBPL	0.614703733	
FLI1	1.23170042	1.22878374
FLRT2	0.315992282	0.320172449
FLT1	0.246664926	0.249981734
FLT3	0.340301443	0.34212651
FLT3LG	0.400299302	0.400487597
FLT4	0.388910731	0.389819473
FMNL1	0.726314213	0.730390527
FMR1	0.372346424	0.390565305
FN1	0.286468608	
FNDC1	0.499417061	
FNTA	0.368437997	
FOLH1	1.102212842	
FOLR1	0.334809638	0.339240315
FOLR2	0.346883108	0.349016755
FOLR3	2.132952452	2.129489989
FOS	0.366054304	
FOSB	0.429945368	0.432079595
FOXJ3	0.455962178	
FOXO1	0.945829713	0.950490969
FOXO3	1.062605266	1.072206615
FRMD4B	0.731406117	
FRMD7	0.338922828	
FRZB	0.301463783	0.30444547
FSHB	1.045104908	
FST	0.581110917	0.582727559
FSTL1	0.236995285	
FSTL3	0.391962676	0.403471809
FTCD	0.951084404	
FUCA1	0.930083179	0.929307778
FUOM	0.698084359	
FURIN	0.421833348	0.42265312
FUS	0.444804871	0.446665875
FUT1	0.644982157	
FUT3_FUT5	0.550197429	0.550752354
FUT8	0.651778099	0.650657591
FXN	0.82106963	0.825787563
FXYD5	0.715805966	0.718573865
FYB1	1.037748714	1.038867192
FZD10	0.60659091	
FZD8	0.4393003	
GABARAP	0.507543534	
GABARAPL1	0.677483097	
GABRA4	0.655468114	
GAD1	0.265985497	
GAD2	0.471006249	
GADD45B	0.501765964	
GADD45GIP1	0.544525735	
GAGE2A	0.645774286	
GAL	0.766928386	0.767488531
GALNT10	0.319909556	0.323143904
GALNT2	0.297907639	0.299336273
GALNT3	0.467511645	0.471977021
GALNT5	0.293076421	
GALNT7	0.231691136	0.234110779
GAMT	0.373068318	
GAPDH	0.339524146	
GART	0.275450917	
GAS2	0.539850006	
GAS6	0.291650568	0.292376085
GASK1A	0.449202689	
GAST	1.38549878	
GATA3	0.269698431	
GATD3	0.797216756	
GBA	0.560436847	
GBP1	0.686250426	
GBP2	0.652351675	0.657579722
GBP4	0.533423762	0.539968532
GBP6	0.45800413	
GC	0.269568926	
GCC1	1.130981237	
GCG	1.422141594	1.432031141
GCHFR	0.545326342	
GCLM	0.470398641	
GCNT1	0.396959779	0.399268076
GDF15	0.579783501	0.590880528
GDF2	0.432499877	0.432576741
GDNF	0.432086204	0.439603431
GET3	0.570946184	
GFAP	0.539265813	0.559667395
GFER	0.726499152	0.729309256
GFOD2	1.382428319	1.38809933
GFRA1	0.336001881	0.344257399
GFRA2	0.22908939	0.234946781
GFRA3	0.323374076	0.325715655
GFRAL	0.6659275	
GGA1	0.758573389	0.76534094
GGACT	0.736973744	
GGCT	0.502268525	
GGH	0.406932366	0.408304158
GGT1	0.61831006	0.619921768
GGT5	0.258126719	0.263544463
GH1	2.144020412	2.14540778
GH2	1.839949126	1.842249773
GHR	0.322676841	
GHRHR	0.608082423	0.609315081
GHRL	0.9813987	0.982696744
GID8	0.343597469	
GIGYF2	0.806879004	
GIMAP7	0.317679664	
GIMAP8	0.523634899	
GIP	0.569113153	
GIPC2	0.325401738	
GIPC3	1.020143169	
GIPR	0.465191687	
GIT1	1.004513682	
GJA8	0.629700083	
GKN1	0.304954349	0.308826969
GLA	0.407111487	
GLB1	0.471175616	0.48320523
GLI2	0.340447196	
GLO1	0.657421356	0.662856379
GLOD4	0.400626755	0.402294549
GLP1R	0.382875271	
GLRX	0.644788062	0.64864103
GLRX5	0.907378606	
GLT8D2	0.512425975	0.519480859
GLYR1	0.620324484	
GM2A	0.418391582	
GMFG	0.747084616	
GMPR	0.568822905	0.574063619
GMPR2	0.690072517	
GNAS	0.918921641	
GNE	0.722887514	0.728167535
GNGT1	0.529435913	
GNLY	0.596282915	0.599084016
GNPDA1	0.342478504	
GNPDA2	0.37740865	
GOLGA3	0.811293161	
GOLM2	0.262168774	0.265403685
GOPC	1.12930212	1.1351029
GORASP2	0.489861616	
GOT1	0.444999373	
GP1BA	0.363144574	0.363694397
GP1BB	0.695014743	
GP2	0.975727692	0.977808418
GP5	0.373227554	
GP6	0.986585005	0.985923923
GPA33	1.525202714	1.528078427
GPC1	0.333306263	0.337237281
GPC5	0.631097042	0.631612486
GPD1	0.595521243	
GPHA2	0.486893339	
GPI	0.492417145	
GPIHBP1	0.736608803	
GPKOW	0.326325968	0.329155003
GPNMB	0.316704412	0.32119388
GPR101	0.616110723	
GPR158	0.373016451	
GPR15L	0.67810192	
GPR37	0.748457404	0.76333998
GPRC5C	0.581451251	
GRAP2	1.428300309	1.429346466
GRHPR	0.669085263	
GRIK2	0.432110717	
GRIN2B	0.577540868	
GRK5	0.554818539	0.559955872
GRN	0.275888997	0.278242403
GRP	0.555869361	
GRPEL1	0.682784738	0.686263283
GRSF1	0.82827846	
GSAP	0.95041609	0.955383234
GSN	0.196625686	
GSR	0.237682711	
GSTA1	1.031913721	1.033931612
GSTA3	0.900680799	0.906779739
GSTM4	0.73374082	
GSTP1	0.728947558	0.763013626
GSTT2B	2.472671662	
GTF2IRD1	0.732896428	
GTPBP2	0.831509613	
GUCA2A	0.377215859	0.388217209
GUCY2C	0.85565403	
GUK1	0.411534575	
GUSB	0.757327754	0.75895579
GYS1	1.016603382	1.02419085
GZMA	0.396099538	0.397519575
GZMB	0.718598856	0.718812866
GZMH	0.822493484	0.823148499
H2AP	0.516263445	
HADH	0.675924297	
HAGH	0.844304929	0.850514859
HAO1	1.517769408	1.517260405
HARS1	0.863390889	0.868077474
HAVCR1	0.780936269	0.792313272
HAVCR2	0.408027803	0.416432695
HBEGF	0.830857131	0.830060952
HBQ1	0.707222285	0.708792178
HBZ	1.103362484	
HCG22	0.559528617	
HCLS1	0.62641401	0.628090952
HDAC8	0.636845976	
HDAC9	0.658206411	
HDDC2	0.461242903	
HDGF	1.054241131	1.056713983
HDGFL2	0.674082751	
HEBP1	0.597258381	0.600514948
HEG1	0.295718266	
HEPACAM2	0.440516632	
HEPH	0.283991667	
HEXIM1	0.914130785	0.921747406
HGF	0.439458497	0.441672812
HGFAC	0.294503895	
HGS	0.861765627	0.865542932
HHEX	0.809398511	
HIF1A	0.670372388	
HIP1	0.346506457	
HIP1R	0.474020611	
HJV	0.465192537	
HK2	0.295942061	0.306066792
HLA-A	0.338542104	
HLA-DRA	0.395342664	0.405469519
HLA-E	0.328185242	0.333529877
HMBS	0.496755193	0.503228232
HMCN2	0.598966878	
HMGCL	0.507643949	
HMGCS1	0.44802257	
HMMR	0.491261116	
HMOX1	0.545524973	0.546824321
HMOX2	0.52048981	0.52247804
HNF1A	0.737250222	
HNMT	0.562401537	0.569810451
HNRNPK	0.829955028	0.856076005
HNRNPUL1	0.523864462	
HPCAL1	0.825701309	0.828386799
HPGDS	0.417330077	0.419773811
HPSE	0.975069655	
HRAS	1.010672974	
HRC	0.360126523	
HRG	0.333305208	
HS1BP3	0.926532048	
HS3ST3B1	0.417295756	0.425312649
HS6ST1	0.387826812	0.390211686
HS6ST2	0.362085474	
HSBP1	0.979287184	
HSD11B1	0.464656536	0.465698222
HSD17B14	0.649645218	
HSD17B3	0.494754123	
HSDL2	0.500198536	
HSP90B1	0.734788217	0.737927475
HSPA1A	0.806019438	0.804656343
HSPA2	0.35920962	
HSPB1	0.763066417	0.770421235
HSPB6	0.49884593	0.507586548
HSPG2	0.304467488	0.316261229
HTR1A	0.782323978	
HTR1B	0.439506129	
HTRA2	0.688025739	0.692977316
HYAL1	0.258602974	0.26066453
HYOU1	0.248984399	0.253871218
ICA1	0.87586569	0.882868406
ICAM1	0.337403129	0.339266058
ICAM2	0.355324481	0.357373211
ICAM3	0.291948146	0.294125267
ICAM4	0.593772719	0.594050298
ICAM5	0.532356262	0.532621154
ICOSLG	0.212581966	0.215075526
ID4	0.453841749	
IDI2	0.535435823	0.53980238
IDO1	0.673264153	
IDS	0.098571903	0.099656552
IDUA	0.518779257	0.52934596
IFI30	0.442202499	
IFIT1	0.534368673	
IFIT3	0.392293044	
IFNAR1	0.265325595	
IFNG	1.273166145	1.28276879
IFNGR1	0.231131357	0.236455227
IFNGR2	0.591141174	0.591687004
IFNL1	0.497300948	0.50153052
IFNL2	0.638264463	
IFNLR1	0.421852975	0.423903499
IFNW1	0.365892648	
IFT20	0.450731319	
IGBP1	0.642820717	
IGDCC3	0.501841486	
IGDCC4	0.291217836	
IGF1R	0.243582748	0.248854552
IGF2BP3	0.475329325	
IGF2R	0.270308819	0.272026069
IGFBP1	1.545043509	1.543894078
IGFBP2	0.810316359	0.809776247
IGFBP3	0.344962391	0.346468592
IGFBP4	0.50920924	0.531671935
IGFBP6	0.371414494	0.385420332
IGFBP7	0.358364513	0.362218526
IGFBPL1	0.402030408	0.405632205
IGFL4	0.760073641	
IGHMBP2	0.581847003	
IGLC2	0.260435963	
IGLON5	0.945539744	
IGSF21	0.419869113	
IGSF3	0.421593052	0.424579387
IGSF8	0.34177697	0.346426138
IGSF9	0.982479314	
IKBKG	1.018499419	1.035315409
IKZF2	1.007367991	1.014623907
IL10	0.898054503	0.905078971
IL10RA	0.645324334	0.650578848
IL10RB	0.334422184	0.341740426
IL11	0.694159942	0.698833686
IL12A_IL12B	0.910101858	0.913280674
IL12B	0.646350472	0.650253697
IL12RB1	0.413510218	0.42287608
IL12RB2	0.430045661	
IL13	0.531712018	0.540716751
IL13RA1	0.255047585	0.254912312
IL13RA2	0.293424263	
IL15	0.370353495	0.373496275
IL15RA	0.39161942	0.397760706
IL16	0.48169343	0.488262205
IL17A	0.472398308	0.477293201
IL17C	0.788682751	0.796872906
IL17D	0.398642173	0.397869889
IL17F	0.846067775	0.852657681
IL17RA	0.497201368	0.496689587
IL17RB	0.619692824	0.623098754
IL18	0.539836413	0.541665396
IL18BP	0.356947171	0.363153554
IL18R1	0.39705593	0.397114894
IL18RAP	1.927965358	1.928767189
IL19	0.794463502	0.802008989
IL1A	0.627280699	0.628141125
IL1B	0.625433522	0.630674746
IL1R1	0.254081814	0.257053981
IL1R2	0.226090063	0.226309734
IL1RAP	0.516892947	0.517114558
IL1RL1	0.563324615	0.565776211
IL1RL2	0.452499792	0.455408638
IL1RN	0.691242005	0.694463786
IL2	0.337217871	0.347162425
IL20	0.546525814	0.552691187
IL20RA	0.494439122	0.499379733
IL20RB	0.431447236	
IL21R	0.563023444	
IL22	0.733058629	
IL22RA1	0.477382603	0.48251748
IL24	0.52740651	0.53369545
IL25	0.3511327	
IL2RA	0.462873249	0.467590598
IL2RB	0.413516896	0.418416025
IL2RG	0.3871772	
IL3	0.616030991	
IL31	0.577973095	
IL31RA	0.407940054	
IL32	0.496143553	0.497389352
IL33	0.422170165	0.433045921
IL34	0.387209238	0.397079797
IL36A	0.58607967	
IL36G	0.699539603	
IL3RA	0.361879096	0.364025041
IL4	0.985841004	1.006416634
IL4R	0.405072725	0.413910932
IL5	1.575490904	1.575885346
IL5RA	0.639312671	0.638375502
IL6	0.891419672	0.895456932
IL6R	0.384424044	0.386880287
IL6ST	0.195752793	0.199134726
IL7	0.717335438	0.720503003
IL7R	0.606140351	0.606187459
IL9	0.572326214	
ILKAP	0.63692988	0.644250904
IMMT	0.478256183	
IMPA1	0.673141011	0.679745846
IMPACT	0.592218502	
IMPG1	0.306800054	
ING1	0.510226838	0.516497331
INHBB	0.566473211	
INHBC	0.511067317	0.512553789
INPP1	0.603380416	0.608272359
INPP5D	0.608733148	
INPP5J	0.439112265	
INPPL1	1.090232317	1.107463365
INSL3	1.504657224	
INSL4	0.526563667	
INSL5	1.055716653	
INSR	0.173394429	
IPCEF1	1.006260723	1.01008409
IQGAP2	0.607963426	0.620554059
IRAG2	0.967529007	0.988411413
IRAK1	0.768211077	0.775897509
IRAK4	1.159757811	1.166555651
ISLR2	0.416999966	
ISM1	0.458921118	0.458587012
ISM2	0.449998907	
IST1	1.023262301	
ITGA11	0.393180218	0.396452208
ITGA2	0.363412037	
ITGA5	0.297458238	0.30029905
ITGA6	0.590028982	0.58744008
ITGAL	0.458109179	
ITGAM	0.36238673	0.36596621
ITGAV	0.195027737	0.197523338
ITGAX	0.543440526	
ITGB1	0.24654225	0.24863487
ITGB1BP1	0.445220611	0.453626806
ITGB1BP2	1.229153318	1.23365554
ITGB2	0.332129755	0.334773714
ITGB5	0.423292242	0.431033136
ITGB6	0.356334759	0.358550369
ITGB7	0.516181817	0.517333555
ITGBL1	0.407171538	
ITIH1	0.195205772	
ITIH3	0.455175497	0.459167504
ITIH4	0.283553068	
ITIH5	0.463250938	
ITM2A	0.657145896	0.674227675
ITPA	0.696905164	
ITPR1	0.712621644	
ITPRIP	0.472334529	
IVD	0.538136257	0.546635609
IZUMO1	0.490691015	
JAM2	0.296098007	0.307511144
JAM3	0.514099173	
JCHAIN	0.682984279	0.688517899
JMJD1C	0.576774157	
JPT2	0.90435837	
JUN	0.55239137	0.560770891
KAZALD1	0.513297326	0.514699154
KAZN	1.097015313	
KCNC4	0.569846087	
KCNH2	0.779929918	
KCNIP4	0.553552801	0.560590513
KCTD5	0.475110344	
KDM3A	0.934426528	
KDR	0.289208786	0.288610064
KEL	0.414458363	0.416715243
KHDC3L	0.685403627	
KHK	0.680824226	
KIAA0319	0.329739535	
KIAA1549	0.717019055	
KIAA1549L	0.290748479	
KIAA2013	0.575444353	
KIF1C	0.369223717	
KIF20B	0.781829712	
KIF22	1.265196654	
KIFBP	0.920930528	0.927713152
KIR2DL2	0.913132232	
KIR2DL3	0.867742648	0.869758803
KIR2DS4	1.7766361	
KIR3DL1	1.35561233	1.367394652
KIR3DL2	0.858637876	
KIRREL1	0.598716156	
KIRREL2	0.446650182	0.45022006
KIT	0.34544082	0.34705549
KITLG	0.422616792	0.425639963
KLB	0.82430221	0.830076351
KLF4	0.423301395	
KLHL41	0.527840695	
KLK1	1.42432746	1.425476556
KLK10	0.445962429	0.451831535
KLK11	0.339617139	0.345689393
KLK12	1.533387224	1.536900826
KLK13	0.509547836	0.512514529
KLK14	0.533812324	0.538290412
KLK15	0.534269197	
KLK3	1.593691243	
KLK4	0.746988982	0.75168717
KLK6	0.343511602	0.347752019
KLK7	0.410614155	
KLK8	0.407370522	0.411777555
KLKB1	0.268916194	
KLRB1	0.434465149	0.43948595
KLRC1	0.621370483	
KLRD1	0.54397115	0.545989314
KLRF1	0.465379932	
KLRK1	0.479900239	
KRT14	0.31010464	0.31878748
KRT17	0.394144949	
KRT18	0.999825191	1.004074942
KRT19	0.7608705	0.773715677
KRT5	0.572092509	0.587117709
KRT6C	0.397052002	
KRT8	0.741695043	
KYAT1	0.624773297	0.627415822
KYNU	0.536218429	0.536883207
L1CAM	0.333435945	0.334460807
L3HYPDH	0.931256936	
LACRT	0.517321532	
LACTB2	0.727709901	0.729506962
LAG3	0.468568389	0.472119437
LAIR1	0.463416428	0.472670017
LAIR2	1.177146489	1.177201363
LAMA1	0.546126829	
LAMA4	0.378071791	0.378790119
LAMB1	0.314922908	
LAMP1	0.288748283	
LAMP2	0.224823849	0.227490495
LAMP3	0.666553626	0.66674504
LAMTOR5	0.425106605	
LAP3	0.537927067	0.540266898
LARP1	0.658695703	
LAT	0.858442148	0.860433708
LAT2	1.405110428	1.409935169
LATS1	0.872593335	
LAYN	0.39436362	0.40808245
LBP	0.660001403	0.67454448
LBR	0.782933006	0.788688589
LCAT	0.242649865	
LCN15	0.644530831	
LCN2	0.428839765	0.437227772
LCP1	0.502954811	
LDLR	0.627715119	
LDLRAP1	1.018891724	
LECT2	0.78662348	
LEFTY2	0.623174406	0.626472326
LEG1	0.715659123	
LELP1	0.746697881	
LEO1	0.316364526	
LEP	1.299481668	1.303440402
LEPR	0.362104106	0.366384821
LETM1	0.552187829	
LGALS1	0.395537957	0.404579381
LGALS3	0.348519194	0.352497087
LGALS3BP	0.332456398	
LGALS4	0.637481478	0.645009737
LGALS7_LGALS7B	0.487199827	0.493206201
LGALS8	0.68602535	0.686479358
LGALS9	0.398958617	0.404299737
LGMN	0.410099049	0.409479526
LHB	1.000975573	1.006098281
LHPP	0.681124312	0.681676347
LIF	0.563746053	0.568468808
LIFR	0.269783731	0.273026128
LILRA2	0.426209105	0.427361329
LILRA3	1.447863983	
LILRA4	0.520481747	
LILRA5	0.381861481	0.38459615
LILRA6	0.768397134	
LILRB1	0.319067173	0.32036501
LILRB2	0.397348414	0.398109033
LILRB4	0.511357401	0.52050458
LILRB5	0.789962304	0.790958178
LIPF	0.640708845	
LMNB1	0.645179763	
LMNB2	0.312894417	
LMOD1	0.392974449	
LMOD2	0.64088753	
LONP1	0.898794037	
LPA	1.84231716	
LPCAT2	0.471947833	0.474985017
LPL	0.607686196	0.606767679
LPO	0.688269984	0.688852326
LPP	0.681674096	
LRCH4	0.721707205	
LRFN2	0.489459268	
LRG1	0.284896588	
LRIG1	0.397506446	0.398287048
LRIG3	0.289574148	
LRP1	0.30818747	0.308661531
LRP11	0.40786317	0.415898675
LRP2	0.374726193	
LRP2BP	0.844398859	
LRPAP1	0.645821313	0.643770492
LRRC25	0.447840666	0.450010508
LRRC37A2	0.443647069	
LRRC38	0.506101203	
LRRC59	0.496537836	
LRRFIP1	0.514650864	
LRRN1	0.447188842	0.448225043
LRTM1	0.425878986	
LRTM2	0.291142538	
LSM1	0.608225645	0.612947953
LSM8	0.898202467	
LSP1	0.463076636	0.466052315
LTA	0.456363043	0.45690924
LTA4H	0.678400242	0.685957886
LTB	0.361040625	
LTBP2	0.420912124	0.421541411
LTBP3	0.617302283	0.625376271
LTBR	0.316923657	0.327194673
LTO1	0.451346572	0.458838136
LUZP2	0.467521752	
LXN	0.716475608	0.764924926
LY6D	0.421095234	0.43309426
LY75	0.43893025	0.438967732
LY9	0.328174827	0.330326901
LY96	0.407813444	0.409374405
LYAR	0.593430127	0.595345548
LYN	0.954510928	0.955180262
LYPD1	0.696664761	0.698607444
LYPD3	0.385429723	0.385224185
LYPD8	0.571372029	0.571394308
LYPLA2	1.09855273	
LYSMD3	1.053312878	
LYVE1	0.20665593	
LYZL2	0.398955343	
LZTFL1	0.729580908	
M6PR	0.411109001	
MAD1L1	0.574453843	0.578351197
MAEA	0.427891896	0.436519906
MAG	0.482154979	
MAGEA3	0.871053691	
MAGED1	0.522758349	0.53298667
MAMDC2	0.371443714	
MAMDC4	0.588352742	
MAN1A2	0.27725515	
MAN2B2	0.632383443	
MANEAL	0.517673076	
MANF	1.341739157	1.349079601
MANSC1	0.304944042	0.30838613
MANSC4	0.689119478	
MAP1LC3A	0.323981425	
MAP1LC3B2	0.67242632	
MAP2	0.482493036	
MAP2K1	0.669452048	
MAP2K6	1.120063913	1.123728696
MAP3K5	1.09604186	1.116062373
MAP4K5	1.248417697	1.251919084
MAPK13	0.449757686	
MAPK9	0.476834122	0.482981742
MAPKAPK2	0.760684845	
MAPRE3	1.489004575	
MAPT	0.570476185	0.576892073
MARCO	0.303260461	0.306061956
MARS1	0.878826515	
MASP1	0.264541681	0.266713697
MATN2	0.342189594	0.3428377
MATN3	0.365571893	0.369295037
MAVS	1.025654896	1.038323653
MAX	1.166026277	1.166782016
MB	0.676438416	0.68189354
MBL2	1.125471847	
MCAM	0.388789781	0.390811761
MCEE	0.440496405	
MCEMP1	0.931767922	
MCFD2	0.487802949	0.490353023
MCTS1	0.271126339	
MDGA1	0.804477482	0.80379941
MDH1	0.422588592	
MDK	0.581771106	0.585046386
MDM1	0.319046984	
MECR	0.94412745	
MED18	0.845947289	0.850632287
MED21	0.510233722	
MEGF10	0.447417031	0.448134706
MEGF11	0.335811543	
MEGF9	0.232593829	0.234396136
MELTF	0.310807094	
MENT	0.249250215	
MEP1A	0.772894419	
MEP1B	1.328283196	1.328717124
MEPE	0.299363114	0.300598707
MERTK	0.297617217	0.300171694
MESD	1.362995881	1.366376164
MET	0.230630749	
METAP1	0.325102737	0.329422239
METAP1D	0.915874065	0.919786988
METAP2	0.646501374	0.650844453
MFAP3	0.538965277	0.540573742
MFAP3L	0.672336839	
MFAP4	0.343534036	
MFAP5	0.49127979	0.498861633
MFGE8	0.501677962	0.501646218
MGLL	0.971977995	0.978390258
MGMT	1.355070109	1.360161192
MIA	0.41565461	0.416596775
MICALL2	0.716698392	
MICB_MICA	1.683920501	1.680868674
MIF	0.762962351	0.76655057
MILR1	0.57114073	0.570857301
MINDY1	1.127781582	
MINK1	0.965352143	
MITD1	1.085417338	1.088906132
MKI67	0.406919376	
MLLT1	0.704895903	
MLN	1.073597972	1.079111256
MME	0.938279035	0.939730656
MMP1	1.020253858	1.021158308
MMP10	0.66641559	0.670160078
MMP12	0.657398976	0.663527699
MMP13	0.353400566	0.362839395
MMP15	0.513137113	
MMP3	0.694989442	0.70004843
MMP7	0.525538851	0.571629056
MMP8	0.847534728	0.848001917
MMP9	0.707797885	0.709359706
MMUT	0.505699428	
MN1	0.597253594	
MNAT1	0.454969461	
MNDA	1.121293609	1.120307956
MOCS2	0.691551921	
MOG	0.390625389	0.395375945
MORC3	0.289971812	
MORF4L1	0.415417653	
MORF4L2	0.382584381	
MORN4	0.805333986	
MPHOSPH8	0.811061844	0.822103738
MPI	0.963597226	0.964126576
MPIG6B	0.850869386	0.855627286
MPO	0.53122412	0.536365343
MPRIP	0.457211988	
MRC1	0.319900615	
MRI1	0.702044292	
MRPL24	0.397739566	
MRPL28	0.383244029	
MRPL46	0.299967108	0.304829979
MRPL52	0.261523857	
MRPL58	0.743690464	
MRPS16	0.300924986	
MSLN	0.690737303	0.691923813
MSLNL	0.383194322	
MSMB	0.852678401	0.856855194
MSR1	0.562607153	0.56544286
MSRA	0.812662266	0.81767874
MST1	0.666515725	
MSTN	0.645365199	0.647794864
MTDH	0.951636293	
MTHFD2	0.268855972	
MTHFSD	1.167712501	
MTIF3	0.908005301	
MTPN	0.357873766	0.359560988
MTR	0.666453934	
MTSS1	1.171280401	
MTSS2	1.036079052	
MTUS1	0.589419305	
MUC13	0.568852866	0.575181029
MUC16	2.078665638	2.112092332
MUC2	0.955026316	
MUCL3	0.448108646	
MVK	0.906469684	0.909367356
MXRA8	0.352746264	
MYBPC1	0.785018231	
MYBPC2	0.896185181	
MYCBP2	0.698354735	
MYDGF	1.046396458	
MYH4	0.472033639	
MYH7B	0.447503818	
MYH9	1.18527388	
MYL1	0.420946314	
MYL3	0.805294874	
MYL4	0.559686476	
MYL6B	0.944312059	
MYLPF	0.518644876	
MYO6	0.382647497	
MYO9B	0.73017805	0.73965747
MYOC	0.527994923	0.529808745
MYOM1	0.484237468	
MYOM2	0.527319769	
MYOM3	1.025477744	
MZB1	0.596974703	0.597966946
MZT1	0.568606269	0.585634327
NAA10	0.52103796	
NAA80	1.246629956	
NAAA	0.664608304	0.665205353
NACC1	0.582145299	
NADK	0.623073361	0.624952014
NAGA	0.602312677	
NAGK	0.597085408	
NAGPA	0.226415933	
NAMPT	0.600587794	0.604293444
NAP1L4	0.43179686	
NAPRT	0.348937063	
NARS1	0.490805199	
NBL1	0.29910042	0.30744098
NBN	0.569859524	0.570665136
NCAM1	0.360130987	0.362300552
NCAM2	0.314538408	0.315359699
NCAN	0.476455462	0.47470871
NCF2	0.966085742	0.966930614
NCK2	1.184054749	1.186645171
NCLN	0.583870575	0.586076502
NCR1	0.418582595	0.424689386
NCR3LG1	0.370946143	
NCS1	0.349764031	0.354539434
NDRG1	0.7597202	0.755342395
NDST1	0.645531681	
NDUFA5	0.361679048	
NDUFB7	0.924683648	
NDUFS6	0.870336114	0.878952244
NEB	0.390344844	
NECAP2	0.684001298	
NECTIN1	0.334039657	
NECTIN2	0.327825383	0.33832701
NECTIN4	0.342968879	0.356219685
